cat	prod_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8	summ1	summ2	summ3
cloth	B006QM4HOG	I really appreciate the method of safety built into this bag. But, it is so large that by the time you put all of your stuff in it, it is hard to carry. Certainly could not carry as a cross bag easily. If someone jerked the bag, it is so big and strong, the person might jerk me down to ground!	it is light weight and has many compartments. I wish it was just a little larger. There is a 400 item which is too big-rhis is a 200 item which is fulls up fast; therefore; I would like to see the company make a 300 series.	I love this bag although I would have preferred it to be a litle smaller. It is light enough that I can carry my camera, camera accessories, as well as all my normal purse items including my Kindle. I love this particular shade of blue. It goes well with most everything I wear. I also appreciate the pockets for separating things.	Took this bag on a recent trip to Europe and it was great. No worrying about theft and it is filled with pockets to accomodate all things that you need to take for a day trip. The two outside pockets were great to hold a water bottle or umbrella.	I checked this on two different monitors before I ordered. Both looked more rose color. It's very much a dark purple. Which I'll live with since it is for travel, and didn't care about it being subtle it's very large, we'll see how well it hold up	Wish it came in colors but other than its drab appearance it is an AMAZING bag. I couldn't believe how much stuff I got in there on a recent trip. Comfortable to wear with handy pockets and clips in all the right places. Love this bag.	I used this for the first time last week on a trip to Maine. We normally drive so I was worried about carrying things on the plane. This handled my camera, binoculars, medicines, treats, glasses and cosmetic case along with two paperback books and three drinking cups. I love it!	This is the purse for all to have when you have children or you need to have it while traveling on trips! Seriously, great purse and yes, I paid a little bit more for the mauve as I was tired of black. I just love my purse!	This bag is lightweight yet very roomy. It has plenty of pockets for storage and organization. The safety feature makes it perfect for traveling although you need to keep the contents light to use as a cross bag. It comes in black, blue and mauve although the mauve looks like more of a purple.	This is a wonderful bag for traveling, especially if you are a heavy packer. The many pockets will help keep you organized. I would not purchase this bag if you don't have very many items to carry around, as it may be too large. Overall it is great if you need a large traveling bag.	I love this bag! It was exactly what I needed for my trip to Europe. It has all the pockets I could ever need, and I was able to fit my phone, camera, snacks, maps, a guidebook AND my Kindle, plus everything else I would normally carry while still being comfortable. The color seems a bit different than I remember, but overall it looks great.
cloth	B006UF64CW	I get constant compliments on these sandals. I order them every summer in a variety of colors. I had heel spurs and back problems so the cushy softness of these is the only thing I can wear comfortably and the small wedge heel is perfect for my back.	These thongs are fun, festive, flexible and surprisingly comfortable. I have very sensitive feet and I can wear these cuties all day. The arch support is great and there is a nice give in the sole. I love these so much I want to put a few pairs away in case they discontinue them. They go with everything.	I have been wearing White Mountain beaded sandals for a couple of years now and they are wonderful. They are lightweight and cushion the feet when worn for long hours. They are also beautiful and usually hold up for two or more seasons.	This was great price for this cute sandal. Unfortunately, the toe piece was very hard and they were a little narrow... unusual since I normally wear a B width. For the right person, they would probably be fine. They just didn't work for me.	I love White Mountain sandels. this is my 2nd pair of these shoes. I wore out the last pair after 2yrs. They are very very blingy and I like that. Would I order another pair? you bet I would / will.	Item was too small, purchased for a friend their size 9 is smaller than the size 8 in the store. Sent it to the wrong address, and I can not seem to find anyone that will tell me where my bill is. I will never buy from white mountain again.	I lived in sandals that looked exactly like this but I thought they were by Bjorn. I couldn't find them anywhere, but found these (go figure). While they aren't quite as comfy as my other ones, I think with a bit of breaking in they'll be just fine. Lots of compliments every time I wear them.	Not only are these SUPER comfortable (yes, even between your toes), they look great with just about anything I wear! I have been complimented on these daily!! I typically wear a 6 1 / 2, I ordered a 7 and they fit perfect!! I need more of these!! HIGHLY RECOMMENDED!!!	These sandals are beautiful, fun, festive, and come in a variety of colors. They are light weight, comfortable sandals with great arch support, but run a little small, so buy the next size larger for a good fit.	These White Mountain sandals look very nice, people will take notice of them. They are comfortable but it may take some time for your foot to adjust to them. The softness can help with your back and arch support. They also hold up to extend use fairly well. Recommended for the right person.	These sandals are both very comfortable AND very stylish! They do run a bit small, so you may want to order 1 size up. Overall, a great shoe that you'll enjoy, even after a couple years of consistent use! HIGHLY recommend White Mountain sandals.
cloth	B007I8G8A8	Love the shorts! Fit beautifully and look great on my hunky hubby! We grew up at the beach and these are definitely back flashes!! Excellent quality, good material, made very well and am very excited! I need to order him more!	As other people mentioned the liner in these are SUPER small. I took them on vacation to Hawaii and on the second day I cut out the bottom of the liner. The waist fits fine but the liner inside is not sized accordingly. I just cut the liner at the bottom so I could be comfortable and all was well after that.	great price nice style these were the best swimwear available during the winter season and compared to the others that i found online these were very sharp (style) and also the price was very decent if your son needs a pair for gym or just swimming i would recommend these to any one	Shorts have a good look and feel. Fit about as expected but the mesh is a little tighter than I'd like. (6 '205lb, wear a size 34 waist and ordered the size large which is quoted to fit a 34.) If you're on the fence, might want to go a size larger.	My wife said I had to buy a proper pair of swim trunks for an upcoming cruise. Seems my use of cut off jeans would embarrass her on the cruise we took. The pockets are deep enough to keep things in and the cargo pockets are good for keeping various items like sunglasses.I guess I will have to retire the cutoffs.	The shorts themselves fit well, but my husband said the inner lining was a little tight. He ended up not wearing them because he was worried about them chaffing. Hopefully they can be stretched or fixed, but I'm not sure.	This is a cheap product and it shows in the material and craftsmanship. The material is rough and it has one of those annoying net liners built in. The stitching seems poorly done and I don't thin it would have lasted long had I actually worn it out into the ocean. I returned the item.	This was an excellent purchase - very sharp looking and seemingly well made (so far anyway) for a great price. What garners only a 4 star is the mesh inner lining is a bit too tight and i had to cut it	These look very nice on.  The mesh in them run a little tight though so you may want to go up in size.  They are roomy in the pockets and can hold onto a lot of items.  They are a great price for the quality and I would highly recommend them to anyone looking for a new pair of swim trunks.	These swim trunks look great and the waist fits as expected for the size. They are also a good deal for the price. However, the inner mesh liner is much smaller than the size of the outer trunks. You will probably have to cut out the mesh liner to wear them comfortably.	These are nice fitting shorts but the mesh liner felt tight and I cut it out. You might want to size up if you are unsure. The deep pockets come in handy. These shorts are stylish and they look good. They are more comfortable if the inner mesh liner is removed.
cloth	B009L0KU46	The shoes are the perfect fit for me. They supply the support that I need yet are flexible and comfortable. I wear these all day in my 2nd grade classroom and my feet are not tired at the end of the day. I will be buying another pair in a different color.	I overpronate and should have known better than to buy these shoes. They are really sharp looking and probably would work for someone with a regular feet. I wish I could have kept them as I did get lots of compliments at the gym when wearing them;)	It is very comfortable and the bottom is really soft on my feet. I usually wear 8 but I had to get a 7 in this. So it ran large for me. I have wide feet though too. Very stylish. I enjoy wearing them running and casually as well.	Got a blister the first time wearing them. They did nothing for the foot pain experienced from wearing cheaper shoes. Guess I was expecting too much, but I refuse to pay the ridiculously high prices charged nowadays. I'm sure they are just as good as those costing $100 more. Nice colors!	These shoes are awsome. I have a really hard time finding running shoes due to a high arch and the need for a shoe between a neutral shoe and a stability shoe These shoes felt great right out of the box. They run true to size and the colors are great. Great shoe for a great price.	These are a MUST HAVE item...!! They are totally awesome on my feet and feel like a dream. I do a lot of power-walking and these little cuties are RAD..!! Totally light weight but real cushie..... LOVE EM 'and would DEFINITELY buy from this seller again..!!	I usually wear a size Women's 10. Nike shoes run small, so I usually waer an 11 in Nike. These Reeboks fit more true to size, but I still ordered a 10.5 and the fit is great! The shoe seems durable and well-made. It forms to my foot and supports my arch very well.	She loves the shoes! My girlfriend is picky about shoes and avoids online purchases. I asked her to find a pair of athletic shoes that look attractive. She gave me her size and I purchased them. They are lightweight and she says they cushion her feet well. She has been wearing them for long walks and tandem bike rides since she received them!	These are lightweight, durable and supportive shoes. They look great and the cushion is quite comfortable. They are perfect for people who have to stand on their feet all day. They feel lightweight on the foot and are great for people with regular sized foot. However, they may not work for someone with very wide feet. Overall, I would recommend these to anyone who needs a supportive comfortable shoe.	I love the look of these shoes, and everyone in my walking group has commented on how great they look! I took the advice of others and ordered a size smaller. They fit just right and are very comfortable. I walk for two hours, 4 times a week, and these shoes have been just what I need.	I love these shoes! They give me great arch support and are very well-made. They fit pretty true to size, but make sure you utilize the sizing chart listed. They are perfect for my daily walk. I love the color. I did get a blister the first time I wore them, but that always happens to me. They just need to be broken in. Now they are the most comfortable shoes I have ever had.
cloth	B00AZ6WVQU	The description say it long... NOT so it is average. That's why I purchased it because it said it was long. This is a basic tank.I washed it and it didn't warp but did shrink a little. Nothing to brag about.	I'm 5 '4 'and this tank fits like a normal tank top, not any longer. I was trying to find a tank that would cover past my hips, so I could wear it with leggings. Don't order if you're expecting tunic length.	This shirt is OK if you are layering for sure. It is THIN and runs SMALL. I usually wear a small and read the reviews and ordered a Medium. It fits tight and is NOT long like in the picture. Glad I only purchased one.	The tank fit very well and was comfortbale to wear. The material was thinner than I expected, and I felt it was probably a little over priced. I've bought much higher quality tanks for $5 at a local store.	The only reason I'm rating this at two stars is because it is listed as a 'long' tank top and the photo even shows it going well past the models hips, however I'm short and the tank top is just a normal length.	I usually get them someplace out but they no longer carry them. I thought I would give these a try. I received them fast, although I did order a brown and got a black (which I also needed a black anyway). They were a lot thinner than I like but they are okay.	Every women should own one in every color. They wash well perfect under everything. Perfect alone. As I write I'm waiting on another of the same style to arrive. Just feels quality I don't know how else to explain it, but I'm sure you get it ladies!	I bought this tank to wear under shirts when it is colder out. I bought one in white and one in an aqua blue color. They are long enough that the color peeks out from under my tops. Looks cute. I do wish that the neck line was a bit higher cut to provide more modest coverage of my chest.	Women's tank top fits well, runs a little small, but of good quality. It's a thin weight tank, great for layering. It comes in many colors. The only negative is that it's listed as long, but is actually a very standard length. If you want a regular, basic tank top, this is it.	overall not recommended product. the tank top is smaller and shorter than expected, so keep that in mind and order a bigger size. the cut on the chest is too big as well. but the product is good if you are going to use it for layering.	Great tank top to wear under my other shirts as I liking layering and the material has a good feel. There was a good choice of colors to pick from. Although, the top is a thin material I don't mind since I wear it under something else.
electronics	B000BYGGBW	Yes, HP DVD's are DVD's for the better. Better price. Better quality. I have used these over the years for many different projects and the quality is there and so is the price. I have had trouble with some other brand named DVD's, but not with HP.	Ive always bought the Hp DVD + R 100 pk and find that they go a long way, Seldom do I find a coaster in the pack... Hwever his was my first time purchasing the 100 pk from Amazon, but so far so good.	I have had a ton a problems with these discs. After about 30 minutes of a DVD, it begins to get choppy and become unviewable. Looking at the burn side of the disc, there is a area where you can see the burning stopped and I guess picked again. Do not recommend.	The box was too big and allow the spindle to bounce around in box and plastic covering spindle which keeps the blank DVD in place was broken and DVD were off the spindle. If that is the only size boxes have should put more packing so it will not allow spindle to move at all.	Produces about 25% coasters, and another 10-15% that won't play on DVD players. The first half was about what I expected, a few coasters, a couple minor errors. The second half I was lucky to get maybe 5 that worked flawlessly. No good!	After receiving this DVD + R, I think I should order the 50 piece spindle. I did not burn too often. I believe it is enough for 2 years. I tried a couple of discs, anyway, like it.	Been purchasing only HP DVD + R media for 8 years or more. Always got the HP branded gold coated. Made by CMC, with id of CMCMAGM01001. This batch is not gold as portrayed in the photo, it's silver coated, but still the same id.	Vendor describes the product as being gold in color. It is not it is silver. I know that HP no longer manufactures the gold version.But was hoping this vendor had some gold version of DVD + R in it inventory. They need change the picture and description to silver instead of gold.	These are silver discs, not the gold ones as advertised. The packaging is not good, they need to be packed more securely, the DVDs shouldn't be able to slide around.  The quality of the DVDs is hit or miss. You might have a good batch and then run into several that won't work.	I've always used HP DVD + R discs, but these are silver instead of the gold they used to be. These silver ones are hit or miss. I'll burn 10 DVDs no problem, then get a few coaster in a row. I wish the gold DVD + R were still around. I'm glad I bought the 100 pack in case I have any other issues.	These DVDs work well for the most part, although I did get some coasters. Some seem to work but become choppy about 30 minutes into the video. HP is still better than most other brands though. Take note that these are silver, not gold. Hopefully the vendor updates their images.
electronics	B000EB7OTU	Since I purchased this backpack a month ago, I have used it several times. It protects my new SLR camera and I can still put water bottles on the side, food and a jacket inside. Additionally, it is very comfortable to wear. I highly recommend it.	I have this same model purchased from B & H. This one through Amazon is missing any sort of padding at the bottom of the bag. Basically your camera is sitting right on the ground with a thin layer in between it and any surface. Ridiculous and disappointing.	The main clasp for the bottom part isn't perfect... it's slightly bent and requires some manipulation to 'click.' The tripod's great, the cleaning kit's great. Be careful about that front clasp. It was shipped quickly though.	I like this bag very much, it can hold my SLR body along with 2 lens, even with one 70-300mm, although bit hard to fit in well. I would expect it little bit bigger, however current size looks perfect if carry out for causal travel. And the bag is good quality and solid. Nice backpack.	I found that this was too small for my D90, 70-300mm and 18-105mm. While it all fit in the bottom of the backpack, there was really no room to spare for future equipment. I wanted to use the top for personal stuff, so that I did not want to put camera equipment up there.	I recently bought Tamrac Adventure 7 backpack for my Nikon D80, and I used it during my vacation trip. I like it very much. It is well designed, the material made is durable, and practical pockets to put your camera accessories. I recommend this backpack. You'll get your money's worth.	I had at least two camera bags before this one, and never found the perfect fit.What can I say... I just LOVE this backpack, is comfortable, excellent size and does not look as if you were bringing a super camera.I would buy it again and strongly recommend this model	Great Backpack! It is well made, padded straps and back. I have a Canon 20D with grip and about four smaller lenses in the bottom. I do have to keep my Canon 70-200 2.8L in the top section with a lens wrap around it.	This is a sturdy, durable backpack that's functional and comfortable. There's room for an SLR- sized camera, and also room for a few personal effects, although it does lack much room for extra equipment. Will work perfectly for a casual day trip.	I love this bag,  purchase it a month ago, it was shipped quickly. It is well designed, comfortable to wear with a durable material. The tripod and the cleaning kits are great. I recommend this model and would buy it again. It's worth the money.	This camera bag, constructed as a backpack with padded straps and back is functional and comfortable to wear as well. It is roomy enough for the camera plus several accessories, and also has enough space for extras. It is well designed and made of durable materials. I would recommend this camera bag to most people, although some users with a lot of accessories may need more space.
electronics	B000V7CPJG	I recently bought this film and slide scanner to scan my grandfather's slide collection. It bleaches out the image with too much light. I tried changing the settings to improve the image quality, but had no luck. The company ArcSoft charges $10.00 per phone call for tech support. You are better off making the investment on a nicer quality scanner.	* * Not Reccommended * * Purchased as a gift in August. Opened a week ago. Spent the last week trying to get Win Xp to recognise the Vu Point scanner. Many drivers and reloads later all I have is a little black box with a red light and a message from windows that says 'USB Device Not Recognised'.	I used the VuPoint Digital Scanner to scan over 1,200 35 mm negatives and about a dozen slides and found this gadget a most user-friendly and efficient tool. I even managed to upload a few black and white negatives from 1963. I recommend the product highly.	While the software was good for Windows XP and Vista, I now have Windows 7 and would like to have software for the newer operating system. The company prefers to sell other products rather than update their software. I can't see recommending this product in today's market.	While most equipment will work with more modern versions of Windows than were available when manufactured this is not true with this scanner. Requires Windows XP means it won't work with earlier OR LATER. Its on its way back for a refund.	I found the VuPoint scanner not acceptable and I am still waiting for a replacement. My contacts with VuPoint were helpful but the equipment still did not produce acceptable images. My contact with the seller has been sporadic, at best, and a replacement unit has not been delivered.I an NOT anxious to deal with these providers again.	Product is very easy to use. Does a great job converting my slide and photo negatives to digital format. Touch-up and enhance program gave me just what I needed to clean up and enhance some of the scans, Company was great to work with!!	Its not worth the time it takes to get the negative to fit in the holders they give you. I'd much rather buy a hp flat bed scanner that lets you see the final photo image and not just an image of the negative. It takes to much time and isn't worth the money.	overall impression of the product is negative. in some cases it works nicely, but the settings are confusing to adjust, sometimes it is not clear if they do anything at all. product is not worth the money that it costs, it better to avoid it.	The product is easy to use. It converted to digital format my slide and photo negatives. Very efficient and user friendly tool. It is mostly compatible for Windows Xp.  The product is not recommended for today's market.	I seems that the VuPoint scanner seems like a good product but between the inconpatable software and trouble with placing the negatives in, many customers dont have the time and want instant results. i would give this scanner a good review if you cant afford a more high product. you wont get a better enhancement feature on a more higher end scanner. Give it a try or return it if you dont like it
electronics	B001H9O71Q	Basic GPS unit for those of an older age who do not use smart phones. The screen is small but for the price, a very nice unit. Touch screen and color graphics are a nice touch. If you are looking for the no frills, basic navigation system, save $50 + and buy the 'One'.	I'm a novice at electronics, and there are too many processes to go thru to get to what you want (to get to your destination) - once you figure out all of the buttons to push - it's a beautiful thing...	I got this because it was a deal. I should've known TomTom has a funny way of making you forced to update maps, and in LA a lot of stuff changes so you may as well not even bother with this thing. I use this now as a back-up gps. I just hope this thing does find if and when my phone dies.	Works great. Easy to use. Sometimes may try to take you on a weird route. Still have to have an idea of how you want to get somewhere so that doesnt happen. But, it will always get you to where you want to go.	I got this for my granddaughter for Christmas and she is thrilled with it. She has her own business and must do a lot of traveling, this has been a great help to her in her travels. She is very pleased with it and I am so glad I got this for her gift.	I got a great deal on this TomTom. Not the latest technology (screen size, touch screen / talk options) but had all the features I needed (full street names big visuals). It hasn't dissappointed yet! I would recommended this to anyone.	very easy to set up and use! arrived about 2 days sooner than expected. i didn't even have to read the manual to figure out how to use it. i also like the speedometer on it (my car's speedometer isn't working).	I have purchased this nit back in 2011 and after couple month the battery kept dying.After researching this problem, it appears there is a known bug that the gps wakes up by itself and drains all battery.No firmware update ever resolved it.Avoid, not recommending, seems like a widely known issue.	It's a great deal, also easy to use and to set up. It has a known GPS bug and may sometimes try to take you on a weird route. Not the latest technology, but have all the features I need. I would recommend this to anyone.	Overall a great gps for the price, simple and easy to use. Makes a great gift for those not comfortable using a smartphone. May not keep up with the latest map updates, especially in a big city, so keep that in mind when using.	This GPS is easy to use and fairly inexpensive. As a backup unit it is nice to have but sometimes the map is not up to date and you will end up on a different route than intended. There is also a bug where the battery drains due to the GPS unit waking itself up and is an unresolved issue. This of course does not mean every unit is affected by this. It is easy to use and works great when there are no issues. For the price and accessibility it is recommended but with caution.
electronics	B001TKE25E	Good quality, everything that you need is included (except for the gang box of course). I'm using it with 16 AWG wires (they say they are 14 but I know better than that). It should fit 14 and maybe even 12 AWG. I'm not using banana jacks.	Cant give it 5 stars because the mounting screws that come with it are poor quality and will strip easily. Do yourself a favor, head to the hardware store and get the # 6 - 32 1 'combination machine screws and throw out the ones that come with this product. The white trim screws are OK, but not great.	cost much more from local retailers plus is a better product. some of the newer designs suck. plastic inserts don't try it if it says easier dont't buy it. this product works on old school. some times that's the best way. take a little longer to instal but no going back for loss wires	This is OK product. looks good and easy to install.Cons: Cover is not a standard size and you probably wont be able to replace it. In addition it does not flush everything completely (not deep enough) and there is a small gap left between the wall and the plate.	All the screw heads were painted shut. I had to dig them all out before I could screw them in. The rest of the plate is ok but I didn't enjoy spending a bunch of time digging the slots out of the screws. I'd recommend going with something else.	Bought five for my 5.1. Installed into the boxes in the wall well. 4 stars for having a slight gap between the wall and the plate after install. I only notice it at slight angels. Jacks are made well wires attached well.	Easy installation and looking nice. Much cheaper than brand product at local store. However, it doesn't look as nice as the brand ones either. I suspect the connectors are made of poorly gold-plated bruss or even other metal. But for my purpose and for the price, it is OK.	Came individually packaged, with mounting screws. The backing plate is plastic, but sturdy enough. Plastic is great for me as I live near the ocean and corrosion can happen. Great quality. Great price. Much cheaper than local home improvement stores.	This plate is plastic and comes with mounting screws. The screws are a bit stripped and difficult to work with but this product is a good deal cheaper than those at local stores. It leaves a gap between the plate and the wall but overall it looks good. You could use different screws other than what comes with this plate.	This mount is cheap, installs easily, and works well for most applications. It looks good, and the plastic is sturdy. However, the included screws are of suspect quality and may need to be replaced, and the back plate doesn't fit snugly against the wall. Overall, good for the price.	This is easy to install, and comes with everything you need. However, the mounting screws aren't great quality and it might be best to replace with something else.  It's much cheaper than branded products, but as it isn't a standard size, the fit might not be good on some walls.
electronics	B002RL8IGI	Took a long time to get and when I finally got them, they didn't seem to work to well joined up (I have 3). Also, they should have come with DC chargers, they don't seem to work well with batteries, imho.	The units work fine and the setup is described in the manual works well. The one thing that my wife and I do not like is the Audio. Sounds like you are in a box. The calling button is also a bit strange. It first beeps and then you can speak. The distance it covers is very good.	Don't waste your money on these. Although if you try hard enough you can make out what the other person is saying, the audio quality is extremely poor, as is the noise cancellation (if any), and the general sound quality. I wish I had saved the boxes. I'd be sending these back.	And the problem is having to wake the kids up in the morning to go to school. They are upstairs and I used to have to trek up and down a couple of times each morning. We put one in each bedroom, 1 in the living room and 1 in the study. Problem solved.	We use it in our office to tell another employee if they have a call on hold, but that is about all it is good for. Don't bother trying to have a conversation, clarity is too poor. I didn't realize until after the fact that I should have just bought walkie talkies. At least battery life in these are good.	I searched extensively for an intercom for my large two floor home. I selected this unit (ordering three units) and regret my decision. It was very difficult set up and doesnot work that well. I wish I could get a refund as we never use it. My search continues.	It is simple to program and operate, which is just what I was looking for. I just wish I didn't have to buy a power cord separately. I am running it on batteries right now, but I am not sure how long they will last.	I've spent hours already trying to set up my network and get this system going. The engineering leaves much to be desired. Can't get it to work as advertised. The Manual is one of the least helpful such documents I've ever seen.	If you are looking for a basic intercom system and nothing fancy, then this product is for you. It is perfect for what I need it for. They do not come with cords, so make sure you have batteries. It has a good range of coverage. All units work well, and the setup was easy as described in the manual. They are simple to use and my kids love them! Great product for the price.	These intercoms are not worth the buy. Getting these set up is quite the hassle and the instruction manual is not much aid. The worst part is that the sound quality is very poor. This may have some use if a simple message is to be sent. Otherwise, don't waste your money.	This does not come with an AC charger so you have to use batteries or buy a cord separately. I think this covers a good distance and the battery life seems good. The audio is not great, it is not very clear. It is challenging to set up. Walkie talkies would work about as well.
electronics	B003U8K0N6	This power supply gets the job done but I am concerned about how hot the charger gets after a few hours. I attached a cooling device to the power supply and has controlled the heat. Buy this with caution and monitor the temperature of the power supply.	This charger ruined my laptop. I did not have any problems with my 5month old lap top until i used this charger. Buy this from the manufacture and you will be better off. Go to ACER and bet it from them.	My charger gets hot very quick. The one pictured is not the on received. The prong fits loose in the laptop. The one pictured showed a grounded plug with an OEM Brick. The one received has a 2 prong plug and has a sticker on it stating, replacement AC Adapter, Made in China.It would be nice if the pictures represent the real items.	I recently purchased this power supply and cord to replace the OEM that stopped working. I've had it approximately 1 month and works perfectly. The cord is a little shorter than the original but that isn't much of an issue for me. I would recommend this product.	I bought this for my aspire 5532. It worked for about a week and now it won't charge at all. The fit was never snug from the start, but I was hopeful. I guess you get what you pay for. Buyer beware!	The charger arrived here very quickly! I am very thankful for that because I have online classes to work on for school. The only thing is the cord has to be placed a specific way or it will not charge so that is difficult.	Purchased the product for the corresponding laptop. The adapter made so much noise that I could not charge the computer in the office. After writing the company they took appx 5 days to get back to me and suggested that I send the product back on my dime to fix the problem. Poor product, bad customer service, I do not recommend.	I ordered this for my Acer 5532. It heats up right away and I only use it to charge the laptop, it isn't plugged in for very long. After only 2 weeks it MELTED! This is horrible and dangerous!	The charger gets very hot with use, which can be quite concerning. The fit into the laptop is often loose, which makes it unreliable. Some items delivered didn't resemble the photo online. Overall, it would be best to avoid this product and buy direct from the manufacturer.	This charger gets very hot very fast and it seems a bit dangerous. It has to be lined up a certain way to work. The charger makes a bit of noise. Customer service was not helpful. A cooling device may help with the heat but this product should be used with caution. It is an affordable option.	This product is of very poor quality. This charger is not reliable. It gets very hot and is loud and may ruin your device. It does not look the product in the description and customer service is not quick to help. Overall, I definitely do not recommend this product.
electronics	B003YJ5LLM	Love the design of this sleeve. When I don't have a table I use the sleeve as a mat to protect my thighs from the heat of my laptop. Wish it had a bit more padding and cushion but other than that it's a pretty carrying sleeve.	This was bought for our teen daughter for Christmas, the only negative things about it are 1.no strap 2.no pockets, other than that it is great, but in all fairness i knew both things about it when ordered, it came in very fast, was just as described, great item for the price.	This case fits perfectly on my 14inch hp. I disagree with the comments that talk about the smell being terrible. The smell really wasn't that strong and went away after a couple of weeks. I love the design and it was a fair price. Shipping was a little expensive though. It arrived quickly and I would buy from this seller again.	I really enjoy the design of this case but I thought it would be lighter. When it came, it was a very dark grey which was a bummer. But the quality is good and it has a nice thick padding to protect my laptop.	I like this case very much! It fits my Acer Aspire 14 'as a glove!!! Yes, it smells a little bit but I wouldn't say that it's so bad as mentioned in some reviews. And it's very cute too. I recommend this product to anyone.	I BOUGHT IT FOR MY ACER 14 ', IT IS A LITTLE BIT TIGHT, BUT THE WORST WAS IT HAS HEAVY RUBBER SMELL, WHEN I LEAVE THE CASE IN MY ROOM, THE RUBBER SMELL WAS FILLED WITH THE AIR EVERYWHERE OF MY ROOM, MADE ME SICK. DON'T BUY IT.	I have a dell inspiron 14, and the cover is a little snug. It's working well though and now I can carry my laptop in my school backpack rather than carry a separate laptop bag. I'd recommend this product, just do a bunch of research to make sure it will fit.	I really love it! It doesn't smell a lot as some reviews say and the draw is well defined.I bought this size for a 13.3 'because my laptop will have a cover on it so I don't know how it fits for a traditional 14 inch,	This 14' laptop sleeve has an attractive design and is made of quality materials. It has a very snug fit, so be cautious of buying it if your laptop is even slightly over 14'. The only real issue is the rubbery smell that comes with it. Overall, I would recommend this, unless you have a sensitive nose.	This case fits so snug around my 14 inch laptop. The quality if very good with draw being well defined. There is a hint of a rubber odor that may be a turn off for some, but the smell goes away rather quickly. A great buy for the price.	This case is a very dark color. It has a good amount of padding. The fit is good on my 14 inch laptop. It has a smell that slowly goes away. Shipping was quick but a little expensive. I would recommend this to others, this product is just as described.
electronics	B004G8EKIA	I did not go wrong when I purchased this stereo receiver. tons of power pushing my system, what an upgrade from my old one, this is a real powerhouse. It pounds. Remote control, quality crafted stereo receiver for under a hundred bucks! I thought it would be good, but did not expect this. A sweet deal!	If you want just a stereo then this will do the manual is very limited. The fan is loud and the USB player will only let you go one track at a time so if you have a 100 tracks it will take time to get there. The sound is fine and is easy to connect up.	First problem I have with this receiver is you can't set the channel presets. Also the speaker wire terminals are NOT clamps and it took me a while to screw them in. The power is good and it looks durable. I don't believe you can play the tv's sound through the receiver.	I got this to replace a 20 year old stereo I had. I went by the speaker specifications when I purchased this one. When I hooked it up, this receiver pushed my 15's more than I ever heard before without messing them up. Perfection!! I recommend this to everyone!	This Amp is very inexpensive and its performance proves its quality. First, you can't play a turntable without buying a preamp. That would be ok if the sound reproduction was good. I would have settled for good. I didn't settle and returned it; you shouldn't either.	Amazon ought to be ashamed to carry this junk on their line-up. You got enough BAD reviews to open your eyes.Just reading the murdered English in their manual is enough to tell you this is made by prisoners. Just try totune to your station on the FM - hopeless. The noisy constant fan! The unreal low price should have been a warning.Shame! Charles	This sound system is worth all the money you pay for it iv never heard bass so clear and ass loud as its going tough my 12 '' and 8 '' and two 5 '' subwoofers buy this if your looking for grate sound.	The Stereo works fantastic as Amp. for laptop Or MP3 player. Radio reception is poor. Has great range of sound adjustment. I have it in my garage, with speakers all around. Use mostly for Sirius / XM radio on laptop.	You get what you pay for with this receiver. Terrible radio reception, very noisy fan, and don't expect any help from the useless manual. It does have decent power, but I'd rather pay a bit more for a quality product.	This is an inexpensive stereo option. The manual is limited and is difficult to read, also the fan is loud. The radio reception is poor quality. The sound quality though is great, when listening to Sirius or when hooked up to a laptop.	This sound system is worth the cost. The bass is so clear and loud, the stereo works fantastic and the range of sound adjustment is great. I had a problem setting the channel preset. Overall, it's a sweet deal.
